[info] welcome to sbt 1.5.6 (Oracle Corporation Java 1.8.0_212)
[info] loading settings for project dotty-master-build-build from build.sbt ...
[info] loading project definition from /home/olivier/workspace/dotty-master/project/project
[info] loading settings for project dotty-master-build from build.sbt,plugins.sbt ...
[info] loading project definition from /home/olivier/workspace/dotty-master/project
[info] loading settings for project scala3 from build.sbt ...
[info] resolving key references (30830 settings) ...
[info] set current project to scala3 (in build file:/home/olivier/workspace/dotty-master/)
[warn] sbt 0.13 shell syntax is deprecated; use slash syntax instead: scala3-bench / Jmh / run
[info] compiling 9 Java sources to /home/olivier/workspace/dotty-master/bench/target/scala-3.1.1-RC1/classes ...
[info] done compiling
[info] running (fork) dotty.tools.benchmarks.Bench 60 60 1 /home/olivier/workspace/thesis/scala/target/generated/join-match-types.scala.193.scala
# JMH version: 1.19
# VM version: JDK 1.8.0_212, VM 25.212-b01
# VM invoker: /usr/lib/jvm/java-8-openjdk-amd64/jre/bin/java
# VM options: -Xms2G -Xmx2G -Xss4M
# Warmup: 60 iterations, 1 s each
# Measurement: 60 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: dotty.tools.benchmarks.Worker.compile

# Run progress: 0.00% complete, ETA 00:02:00
# Fork: 1 of 1
# Warmup Iteration   1: 2229.591 ms/op
# Warmup Iteration   2: 401.122 ms/op
# Warmup Iteration   3: 291.207 ms/op
# Warmup Iteration   4: 227.495 ms/op
# Warmup Iteration   5: 196.083 ms/op
# Warmup Iteration   6: 176.337 ms/op
# Warmup Iteration   7: 173.591 ms/op
# Warmup Iteration   8: 166.634 ms/op
# Warmup Iteration   9: 162.247 ms/op
# Warmup Iteration  10: 162.997 ms/op
# Warmup Iteration  11: 158.464 ms/op
# Warmup Iteration  12: 154.580 ms/op
# Warmup Iteration  13: 155.222 ms/op
# Warmup Iteration  14: 153.532 ms/op
# Warmup Iteration  15: 154.226 ms/op
# Warmup Iteration  16: 148.573 ms/op
# Warmup Iteration  17: 150.039 ms/op
# Warmup Iteration  18: 152.657 ms/op
# Warmup Iteration  19: 151.422 ms/op
# Warmup Iteration  20: 149.228 ms/op
# Warmup Iteration  21: 147.323 ms/op
# Warmup Iteration  22: 146.545 ms/op
# Warmup Iteration  23: 146.600 ms/op
# Warmup Iteration  24: 144.995 ms/op
# Warmup Iteration  25: 144.080 ms/op
# Warmup Iteration  26: 144.453 ms/op
# Warmup Iteration  27: 144.399 ms/op
# Warmup Iteration  28: 173.120 ms/op
# Warmup Iteration  29: 174.537 ms/op
# Warmup Iteration  30: 140.139 ms/op
# Warmup Iteration  31: 139.451 ms/op
# Warmup Iteration  32: 141.324 ms/op
# Warmup Iteration  33: 140.592 ms/op
# Warmup Iteration  34: 138.281 ms/op
# Warmup Iteration  35: 140.102 ms/op
# Warmup Iteration  36: 139.598 ms/op
# Warmup Iteration  37: 136.844 ms/op
# Warmup Iteration  38: 140.949 ms/op
# Warmup Iteration  39: 137.594 ms/op
# Warmup Iteration  40: 137.635 ms/op
# Warmup Iteration  41: 136.780 ms/op
# Warmup Iteration  42: 140.092 ms/op
# Warmup Iteration  43: 136.880 ms/op
# Warmup Iteration  44: 137.078 ms/op
# Warmup Iteration  45: 135.863 ms/op
# Warmup Iteration  46: 138.214 ms/op
# Warmup Iteration  47: 135.965 ms/op
# Warmup Iteration  48: 135.216 ms/op
# Warmup Iteration  49: 135.957 ms/op
# Warmup Iteration  50: 135.261 ms/op
# Warmup Iteration  51: 135.537 ms/op
# Warmup Iteration  52: 132.881 ms/op
# Warmup Iteration  53: 134.826 ms/op
# Warmup Iteration  54: 135.083 ms/op
# Warmup Iteration  55: 133.674 ms/op
# Warmup Iteration  56: 134.665 ms/op
# Warmup Iteration  57: 132.594 ms/op
# Warmup Iteration  58: 133.899 ms/op
# Warmup Iteration  59: 133.881 ms/op
# Warmup Iteration  60: 133.398 ms/op
Iteration   1: 133.747 ms/op
Iteration   2: 134.763 ms/op
Iteration   3: 132.371 ms/op
Iteration   4: 137.007 ms/op
Iteration   5: 133.130 ms/op
Iteration   6: 133.145 ms/op
Iteration   7: 132.942 ms/op
Iteration   8: 133.143 ms/op
Iteration   9: 132.567 ms/op
Iteration  10: 133.232 ms/op
Iteration  11: 132.331 ms/op
Iteration  12: 133.073 ms/op
Iteration  13: 133.954 ms/op
Iteration  14: 131.821 ms/op
Iteration  15: 134.328 ms/op
Iteration  16: 133.165 ms/op
Iteration  17: 133.261 ms/op
Iteration  18: 133.255 ms/op
Iteration  19: 131.311 ms/op
Iteration  20: 132.465 ms/op
Iteration  21: 140.360 ms/op
Iteration  22: 132.900 ms/op
Iteration  23: 134.034 ms/op
Iteration  24: 132.935 ms/op
Iteration  25: 131.657 ms/op
Iteration  26: 133.239 ms/op
Iteration  27: 132.289 ms/op
Iteration  28: 132.174 ms/op
Iteration  29: 132.441 ms/op
Iteration  30: 131.899 ms/op
Iteration  31: 131.266 ms/op
Iteration  32: 134.773 ms/op
Iteration  33: 131.598 ms/op
Iteration  34: 132.428 ms/op
Iteration  35: 131.968 ms/op
Iteration  36: 131.195 ms/op
Iteration  37: 134.428 ms/op
Iteration  38: 132.345 ms/op
Iteration  39: 132.214 ms/op
Iteration  40: 131.596 ms/op
Iteration  41: 130.628 ms/op
Iteration  42: 132.403 ms/op
Iteration  43: 130.842 ms/op
Iteration  44: 130.931 ms/op
Iteration  45: 131.767 ms/op
Iteration  46: 131.257 ms/op
Iteration  47: 131.233 ms/op
Iteration  48: 133.780 ms/op
Iteration  49: 132.206 ms/op
Iteration  50: 131.833 ms/op
Iteration  51: 132.111 ms/op
Iteration  52: 132.504 ms/op
Iteration  53: 145.719 ms/op
Iteration  54: 141.658 ms/op
Iteration  55: 133.835 ms/op
Iteration  56: 132.017 ms/op
Iteration  57: 130.458 ms/op
Iteration  58: 133.361 ms/op
Iteration  59: 132.261 ms/op
Iteration  60: 130.268 ms/op


Result "dotty.tools.benchmarks.Worker.compile":
  133.064 ±(99.9%) 1.142 ms/op [Average]
  (min, avg, max) = (130.268, 133.064, 145.719), stdev = 2.554
  CI (99.9%): [131.922, 134.206] (assumes normal distribution)


# Run complete. Total time: 00:02:10

Benchmark       Mode  Cnt    Score   Error  Units
Worker.compile  avgt   60  133.064 ± 1.142  ms/op
[success] Total time: 134 s (02:14), completed Dec 15, 2021 10:40:10 PM
