[info] welcome to sbt 1.5.6 (Oracle Corporation Java 1.8.0_212)
[info] loading settings for project dotty-master-build-build from build.sbt ...
[info] loading project definition from /home/olivier/workspace/dotty-master/project/project
[info] loading settings for project dotty-master-build from build.sbt,plugins.sbt ...
[info] loading project definition from /home/olivier/workspace/dotty-master/project
[info] loading settings for project scala3 from build.sbt ...
[info] resolving key references (30830 settings) ...
[info] set current project to scala3 (in build file:/home/olivier/workspace/dotty-master/)
[warn] sbt 0.13 shell syntax is deprecated; use slash syntax instead: scala3-bench / Jmh / run
[info] compiling 9 Java sources to /home/olivier/workspace/dotty-master/bench/target/scala-3.1.1-RC1/classes ...
[info] done compiling
[info] running (fork) dotty.tools.benchmarks.Bench 60 60 1 /home/olivier/workspace/thesis/scala/target/generated/concat-implicits.scala.193.scala
# JMH version: 1.19
# VM version: JDK 1.8.0_212, VM 25.212-b01
# VM invoker: /usr/lib/jvm/java-8-openjdk-amd64/jre/bin/java
# VM options: -Xms2G -Xmx2G -Xss4M
# Warmup: 60 iterations, 1 s each
# Measurement: 60 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: dotty.tools.benchmarks.Worker.compile

# Run progress: 0.00% complete, ETA 00:02:00
# Fork: 1 of 1
# Warmup Iteration   1: 10669.594 ms/op
# Warmup Iteration   2: 9689.899 ms/op
# Warmup Iteration   3: 9515.106 ms/op
# Warmup Iteration   4: 9226.353 ms/op
# Warmup Iteration   5: 9121.350 ms/op
# Warmup Iteration   6: 9300.598 ms/op
# Warmup Iteration   7: 9298.985 ms/op
# Warmup Iteration   8: 9230.811 ms/op
# Warmup Iteration   9: 9293.765 ms/op
# Warmup Iteration  10: 9175.415 ms/op
# Warmup Iteration  11: 9098.172 ms/op
# Warmup Iteration  12: 9343.835 ms/op
# Warmup Iteration  13: 9241.849 ms/op
# Warmup Iteration  14: 9160.370 ms/op
# Warmup Iteration  15: 9157.202 ms/op
# Warmup Iteration  16: 9337.339 ms/op
# Warmup Iteration  17: 9263.951 ms/op
# Warmup Iteration  18: 9098.502 ms/op
# Warmup Iteration  19: 9394.965 ms/op
# Warmup Iteration  20: 9206.311 ms/op
# Warmup Iteration  21: 9027.329 ms/op
# Warmup Iteration  22: 8915.104 ms/op
# Warmup Iteration  23: 9305.367 ms/op
# Warmup Iteration  24: 9150.347 ms/op
# Warmup Iteration  25: 9105.217 ms/op
# Warmup Iteration  26: 9024.189 ms/op
# Warmup Iteration  27: 9287.954 ms/op
# Warmup Iteration  28: 9176.752 ms/op
# Warmup Iteration  29: 9087.887 ms/op
# Warmup Iteration  30: 8969.070 ms/op
# Warmup Iteration  31: 9143.618 ms/op
# Warmup Iteration  32: 9075.472 ms/op
# Warmup Iteration  33: 8997.345 ms/op
# Warmup Iteration  34: 8932.610 ms/op
# Warmup Iteration  35: 9211.827 ms/op
# Warmup Iteration  36: 9115.361 ms/op
# Warmup Iteration  37: 9038.479 ms/op
# Warmup Iteration  38: 8975.887 ms/op
# Warmup Iteration  39: 8810.602 ms/op
# Warmup Iteration  40: 9171.757 ms/op
# Warmup Iteration  41: 9071.623 ms/op
# Warmup Iteration  42: 8999.061 ms/op
# Warmup Iteration  43: 8979.549 ms/op
# Warmup Iteration  44: 9337.521 ms/op
# Warmup Iteration  45: 9231.752 ms/op
# Warmup Iteration  46: 9156.735 ms/op
# Warmup Iteration  47: 9042.605 ms/op
# Warmup Iteration  48: 8983.411 ms/op
# Warmup Iteration  49: 9314.283 ms/op
# Warmup Iteration  50: 9172.795 ms/op
# Warmup Iteration  51: 9014.087 ms/op
# Warmup Iteration  52: 8915.965 ms/op
# Warmup Iteration  53: 8800.858 ms/op
# Warmup Iteration  54: 9193.295 ms/op
# Warmup Iteration  55: 9044.341 ms/op
# Warmup Iteration  56: 8973.588 ms/op
# Warmup Iteration  57: 9131.793 ms/op
# Warmup Iteration  58: 9459.308 ms/op
# Warmup Iteration  59: 9372.821 ms/op
# Warmup Iteration  60: 9219.395 ms/op
Iteration   1: 9173.824 ms/op
Iteration   2: 9101.531 ms/op
Iteration   3: 9364.208 ms/op
Iteration   4: 9249.000 ms/op
Iteration   5: 9254.306 ms/op
Iteration   6: 9102.258 ms/op
Iteration   7: 9100.153 ms/op
Iteration   8: 9278.372 ms/op
Iteration   9: 9235.228 ms/op
Iteration  10: 9230.501 ms/op
Iteration  11: 9079.867 ms/op
Iteration  12: 8969.592 ms/op
Iteration  13: 9311.548 ms/op
Iteration  14: 9258.653 ms/op
Iteration  15: 9221.071 ms/op
Iteration  16: 9183.030 ms/op
Iteration  17: 9391.124 ms/op
Iteration  18: 9333.021 ms/op
Iteration  19: 9238.912 ms/op
Iteration  20: 9104.886 ms/op
Iteration  21: 9030.186 ms/op
Iteration  22: 9412.946 ms/op
Iteration  23: 9257.546 ms/op
Iteration  24: 9176.600 ms/op
Iteration  25: 9174.334 ms/op
Iteration  26: 9028.966 ms/op
Iteration  27: 9347.119 ms/op
Iteration  28: 9286.540 ms/op
Iteration  29: 9049.826 ms/op
Iteration  30: 9041.674 ms/op
Iteration  31: 8864.250 ms/op
Iteration  32: 9259.508 ms/op
Iteration  33: 9168.396 ms/op
Iteration  34: 9078.792 ms/op
Iteration  35: 9057.237 ms/op
Iteration  36: 8957.443 ms/op
Iteration  37: 9370.234 ms/op
Iteration  38: 9278.745 ms/op
Iteration  39: 9129.937 ms/op
Iteration  40: 9085.226 ms/op
Iteration  41: 9409.744 ms/op
Iteration  42: 9295.678 ms/op
Iteration  43: 9222.973 ms/op
Iteration  44: 9139.548 ms/op
Iteration  45: 9051.032 ms/op
Iteration  46: 9421.956 ms/op
Iteration  47: 9104.481 ms/op
Iteration  48: 9137.304 ms/op
Iteration  49: 9088.717 ms/op
Iteration  50: 9028.369 ms/op
Iteration  51: 9413.216 ms/op
Iteration  52: 9274.468 ms/op
Iteration  53: 9220.027 ms/op
Iteration  54: 9086.392 ms/op
Iteration  55: 8931.207 ms/op
Iteration  56: 9237.067 ms/op
Iteration  57: 9058.998 ms/op
Iteration  58: 9006.401 ms/op
Iteration  59: 8873.709 ms/op
Iteration  60: 8765.742 ms/op


Result "dotty.tools.benchmarks.Worker.compile":
  9166.727 ±(99.9%) 65.756 ms/op [Average]
  (min, avg, max) = (8765.742, 9166.727, 9421.956), stdev = 147.073
  CI (99.9%): [9100.971, 9232.483] (assumes normal distribution)


# Run complete. Total time: 00:18:21

Benchmark       Mode  Cnt     Score    Error  Units
Worker.compile  avgt   60  9166.727 ± 65.756  ms/op
[success] Total time: 1105 s (18:25), completed Dec 15, 2021 2:29:08 AM
