001,58.976,0.246
009,90.520,0.340
017,145.026,0.506
025,225.468,0.926
033,316.131,1.404
041,462.313,1.480
049,658.559,3.451
057,946.458,4.160
065,1263.344,5.199
073,1655.854,7.006
081,2165.592,11.186
089,2699.776,10.380
097,3474.123,12.816
105,3957.001,10.856
113,4840.387,12.788
121,5778.606,19.024
129,6694.879,22.289
137,7949.921,21.497
145,8947.282,24.887
153,10283.910,28.710
161,10980.147,35.596
169,13661.536,35.933
177,15163.664,49.384
185,16862.519,57.098
193,19104.464,62.802
201,21488.715,69.069
209,23861.389,70.565
217,26517.750,83.998
225,29356.753,495.754
233,31871.484,79.350
241,35630.985,240.674
249,40827.497,1141.912
