001,62.234,0.340
009,63.854,0.501
017,64.134,0.445
025,64.146,0.348
033,66.457,0.408
041,66.939,0.276
049,67.510,0.942
057,68.334,0.405
065,70.021,0.414
073,71.627,1.190
081,73.787,0.399
089,73.976,1.336
097,76.817,0.449
105,78.114,0.406
113,80.450,0.293
121,84.203,0.294
129,87.146,1.510
137,88.911,0.387
145,90.340,0.561
153,96.277,1.286
161,99.494,0.629
169,101.341,0.563
177,101.980,0.530
185,109.319,1.611
193,109.826,1.762
201,115.747,1.732
209,115.669,1.837
217,120.012,1.920
225,129.319,1.684
233,132.940,0.629
241,136.111,0.646
249,142.402,0.755
