001,33.219,0.177
009,34.499,0.241
017,33.456,0.214
025,35.523,0.179
033,36.441,0.248
041,36.807,0.207
049,37.442,0.226
057,39.245,0.277
065,40.653,0.539
073,40.641,0.416
081,41.734,0.305
089,42.610,0.824
097,45.461,0.366
105,45.597,0.288
113,48.187,0.329
121,49.397,0.389
129,50.997,0.386
137,54.117,0.415
145,55.865,0.389
153,58.189,0.417
161,60.093,0.371
169,61.899,0.479
177,65.908,0.612
185,68.471,0.253
193,71.815,0.465
201,74.572,0.523
209,75.686,0.606
217,79.908,0.653
225,82.509,0.678
233,86.954,0.393
241,90.432,0.548
249,94.555,0.552
