001,53.342,0.850
009,56.394,0.226
017,63.723,0.364
025,78.426,0.618
033,99.565,0.601
041,135.562,0.918
049,186.749,1.253
057,256.993,2.930
065,346.645,1.505
073,476.100,2.621
081,564.227,2.172
089,707.150,3.963
097,908.175,3.978
105,1163.341,14.999
113,1376.130,7.829
121,1640.678,7.810
129,1993.725,10.352
137,2462.466,11.392
145,2631.296,9.499
153,3425.196,14.274
161,3648.960,13.481
169,4203.802,22.336
177,4804.631,20.866
185,5517.861,24.985
193,6113.706,20.856
201,7024.428,23.748
209,7713.831,23.120
217,8672.013,23.588
225,10512.919,47.520
233,11524.606,40.609
241,11697.290,41.261
249,14014.422,43.868
