001,37.046,0.213
009,37.331,0.263
017,37.839,0.216
025,38.611,0.234
033,37.135,0.236
041,38.430,0.307
049,40.196,0.355
057,40.404,0.173
065,40.591,0.220
073,41.850,0.276
081,43.039,0.227
089,44.099,0.239
097,43.498,0.250
105,45.584,0.244
113,44.510,0.248
121,45.492,0.301
129,47.001,0.280
137,47.174,0.224
145,47.391,0.238
153,49.009,0.209
161,49.866,0.290
169,52.323,0.530
177,51.568,0.342
185,51.748,0.359
193,52.613,0.324
201,54.870,0.393
209,57.713,0.513
217,55.980,0.452
225,59.610,0.434
233,59.153,0.486
241,60.427,0.285
249,60.841,0.295
