001,37.929,0.185
009,38.645,0.191
017,39.288,0.137
025,39.050,0.168
033,40.589,0.223
041,40.693,0.228
049,41.029,0.200
057,42.007,0.192
065,42.626,0.320
073,42.703,0.379
081,42.929,0.183
089,44.910,0.281
097,45.230,0.311
105,47.407,0.283
113,46.456,0.172
121,47.975,0.271
129,46.790,0.304
137,50.237,0.213
145,48.690,0.267
153,51.164,0.338
161,52.204,0.384
169,52.549,0.328
177,52.712,0.420
185,55.181,0.183
193,55.376,0.282
201,55.290,0.314
209,56.303,0.490
217,57.968,0.451
225,57.985,0.400
233,59.486,0.491
241,60.325,0.326
249,61.800,0.560
