001,36.904,0.336
009,36.963,0.286
017,39.646,0.228
025,39.475,0.244
033,39.692,0.251
041,40.620,0.246
049,41.632,0.299
057,43.199,0.148
065,44.520,0.307
073,45.816,0.280
081,47.067,0.356
089,48.929,0.321
097,49.442,0.386
105,51.418,0.361
113,54.825,0.415
121,55.004,0.323
129,56.429,0.340
137,58.361,0.314
145,60.011,0.579
153,61.153,0.363
161,64.198,0.448
169,67.433,0.393
177,69.217,0.447
185,71.726,0.553
193,72.358,0.317
201,75.887,0.568
209,77.001,0.640
217,79.080,0.547
225,80.339,0.596
233,84.076,0.512
241,87.014,0.683
249,89.103,0.474
