001,52.752,0.309
009,57.897,0.290
017,69.617,0.965
025,84.649,0.475
033,121.066,0.713
041,170.155,0.551
049,230.096,0.868
057,321.395,1.611
065,445.743,1.532
073,591.116,1.923
081,758.329,3.121
089,988.086,6.852
097,1301.141,5.725
105,1560.980,6.713
113,1810.155,6.187
121,2141.555,9.235
129,2845.384,11.904
137,3267.329,15.123
145,3603.232,19.989
153,4740.716,20.292
161,5634.876,21.070
169,6331.865,27.783
177,6834.184,35.857
185,7987.258,58.153
193,9166.727,65.756
201,10570.869,42.257
209,11734.432,35.986
217,12980.658,39.288
225,14646.180,52.617
233,16143.126,51.771
241,17561.277,49.469
249,19629.712,93.053
